case_id,control_id,control_title,org,org_name,file_name,file_type,modality,compliance_label,compliance_status,supported,availability,file_path
5.24-o1,ISO-5.24,Information security incident management planning and preparation,o1,Global Enterprises Inc,5-24_O1_Incident_Management_Policy.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.24_Incident_Management_Planning_and_Preparation/5-24_O1_Incident_Management_Policy.docx
5.24-o2,ISO-5.24,Information security incident management planning and preparation,o2,GlobalFinance Partners,5-24_GFP_Incident_Management_Policy.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.24_Incident_Management_Planning_and_Preparation/5-24_GFP_Incident_Management_Policy.docx
5.24-o3,ISO-5.24,Information security incident management planning and preparation,o3,QuickServe Restaurants LLC,5-24_O3_QuickServe_Incident_Management_Policy_v1.0.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.24_Incident_Management_Planning_and_Preparation/5-24_O3_QuickServe_Incident_Management_Policy_v1.0.docx
5.24-o4,ISO-5.24,Information security incident management planning and preparation,o4,TechInnovate Inc,5-24_O4_TechInnovate_Business_Continuity_Policy_v1_0.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.24_Incident_Management_Planning_and_Preparation/5-24_O4_TechInnovate_Business_Continuity_Policy_v1_0.docx
5.27-o1,ISO-5.27,"Assessment, response, and learning from information security incidents",o1,Global Enterprises Inc,5-27_O1_incident_response_report.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.27_Assessment_Response_and_Learning_from_Incidents/5-27_O1_incident_response_report.docx
5.27-o2,ISO-5.27,"Assessment, response, and learning from information security incidents",o2,GlobalFinance Partners,5-27_O2_Incident_Response_Report.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.27_Assessment_Response_and_Learning_from_Incidents/5-27_O2_Incident_Response_Report.docx
5.27-o3,ISO-5.27,"Assessment, response, and learning from information security incidents",o3,QuickServe Restaurants LLC,5-27_O3_QuickServe_Incident_Response_Report.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.27_Assessment_Response_and_Learning_from_Incidents/5-27_O3_QuickServe_Incident_Response_Report.docx
5.27-o4,ISO-5.27,"Assessment, response, and learning from information security incidents",o4,TechInnovate Inc,5-27_O4_Incident_Response_Report.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.27_Assessment_Response_and_Learning_from_Incidents/5-27_O4_Incident_Response_Report.docx
5.29-o1,ISO-5.29,Information security during disruption,o1,Global Enterprises Inc,5-29_O1_business_continuity_plan.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.29_Information_Security_During_Disruption/5-29_O1_business_continuity_plan.docx
5.29-o2,ISO-5.29,Information security during disruption,o2,GlobalFinance Partners,5-29_O2_BCP.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.29_Information_Security_During_Disruption/5-29_O2_BCP.docx
5.29-o3,ISO-5.29,Information security during disruption,o3,QuickServe Restaurants LLC,5-29_O3_QuickServe_Business_Continuity_Policy_v1_0.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.29_Information_Security_During_Disruption/5-29_O3_QuickServe_Business_Continuity_Policy_v1_0.docx
5.29-o4,ISO-5.29,Information security during disruption,o4,TechInnovate Inc,5-29_O4_TechInnovate_Business_Continuity_Plan.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.29_Information_Security_During_Disruption/5-29_O4_TechInnovate_Business_Continuity_Plan.docx
5.30-o1,ISO-5.30,ICT readiness for business continuity,o1,Global Enterprises Inc,5-30_O1_ICT_Continuity_Plan.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.30_ICT_Readiness_for_Business_Continuity/5-30_O1_ICT_Continuity_Plan.docx
5.30-o2,ISO-5.30,ICT readiness for business continuity,o2,GlobalFinance Partners,5-30_O2_ICT_Continuity_Plan.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.30_ICT_Readiness_for_Business_Continuity/5-30_O2_ICT_Continuity_Plan.docx
5.30-o3,ISO-5.30,ICT readiness for business continuity,o3,QuickServe Restaurants LLC,5-30_O3_QuickServe_ICT_Continuity_Plan.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.30_ICT_Readiness_for_Business_Continuity/5-30_O3_QuickServe_ICT_Continuity_Plan.docx
5.30-o4,ISO-5.30,ICT readiness for business continuity,o4,TechInnovate Inc,5-30_O4_TechInnovate_ICT_Continuity_Plan.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.30_ICT_Readiness_for_Business_Continuity/5-30_O4_TechInnovate_ICT_Continuity_Plan.docx
5.9-o1,ISO-5.9,Inventory of information and other associated assets,o1,Global Enterprises Inc,5-9_O1_Global_Enterprises_Inc._Asset_Inventory.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.9_Inventory_of_Information_and_Associated_Assets/5-9_O1_Global_Enterprises_Inc._Asset_Inventory.xlsx
5.9-o2,ISO-5.9,Inventory of information and other associated assets,o2,GlobalFinance Partners,5-9_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.9_Inventory_of_Information_and_Associated_Assets/5-9_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx
5.9-o3,ISO-5.9,Inventory of information and other associated assets,o3,QuickServe Restaurants LLC,5-9_O3__QuickServe_Restaurants_LLC_Asset_Data.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.9_Inventory_of_Information_and_Associated_Assets/5-9_O3__QuickServe_Restaurants_LLC_Asset_Data.xlsx
5.9-o4,ISO-5.9,Inventory of information and other associated assets,o4,TechInnovate Inc,5-9_O4_TechInnovate_Inc_Asset_Data .xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.9_Inventory_of_Information_and_Associated_Assets/5-9_O4_TechInnovate_Inc_Asset_Data .xlsx
6.4-o1,ISO-6.4,Disciplinary process,o1,Global Enterprises Inc,6-4_O1_Termination_Letter.txt,txt,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O1_Termination_Letter.txt
6.4-o1,ISO-6.4,Disciplinary process,o1,Global Enterprises Inc,6-4_O1_Verbal_Warning.txt,txt,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O1_Verbal_Warning.txt
6.4-o1,ISO-6.4,Disciplinary process,o1,Global Enterprises Inc,6-4_O1_Written_Warning.txt,txt,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O1_Written_Warning.txt
6.4-o2,ISO-6.4,Disciplinary process,o2,GlobalFinance Partners,6-4_O2_termination_letter.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O2_termination_letter.docx
6.4-o2,ISO-6.4,Disciplinary process,o2,GlobalFinance Partners,6-4_O2_verbal_warning.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O2_verbal_warning.docx
6.4-o2,ISO-6.4,Disciplinary process,o2,GlobalFinance Partners,6-4_O2_written_warning.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O2_written_warning.docx
6.4-o3,ISO-6.4,Disciplinary process,o3,QuickServe Restaurants LLC,6-4_O3_termination_letter.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O3_termination_letter.docx
6.4-o3,ISO-6.4,Disciplinary process,o3,QuickServe Restaurants LLC,6-4_O3_verbal_warning.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O3_verbal_warning.docx
6.4-o3,ISO-6.4,Disciplinary process,o3,QuickServe Restaurants LLC,6-4_O3_written_warning.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O3_written_warning.docx
6.4-o4,ISO-6.4,Disciplinary process,o4,TechInnovate Inc,6-4_O4_Termination_Letter_John_Doe.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O4_Termination_Letter_John_Doe.docx
6.4-o4,ISO-6.4,Disciplinary process,o4,TechInnovate Inc,6-4_O4_Verbal_Warning_John_Doe.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O4_Verbal_Warning_John_Doe.docx
6.4-o4,ISO-6.4,Disciplinary process,o4,TechInnovate Inc,6-4_O4_Written_Warning_John_Doe.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-6.4_Disciplinary_Process/6-4_O4_Written_Warning_John_Doe.docx
7.14-o1,ISO-7.14,Secure disposal or re-use of equipment,o1,Global Enterprises Inc,7-14_O1_GlobalEnterprises_DataDestructionCertificate.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-7.14_Secure_Disposal_or_Reuse_of_Equipment/7-14_O1_GlobalEnterprises_DataDestructionCertificate.docx
7.14-o2,ISO-7.14,Secure disposal or re-use of equipment,o2,GlobalFinance Partners,7-14_O2_Data_Destruction_Certificate_GLO-AST-000321.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-7.14_Secure_Disposal_or_Reuse_of_Equipment/7-14_O2_Data_Destruction_Certificate_GLO-AST-000321.docx
7.14-o3,ISO-7.14,Secure disposal or re-use of equipment,o3,QuickServe Restaurants LLC,7-14_O3_Data_Destruction_Certificate_QUI-AST-000166.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-7.14_Secure_Disposal_or_Reuse_of_Equipment/7-14_O3_Data_Destruction_Certificate_QUI-AST-000166.docx
7.14-o4,ISO-7.14,Secure disposal or re-use of equipment,o4,TechInnovate Inc,7-14_O4_Data_Destruction_Certificate_TEC-AST-000271.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-7.14_Secure_Disposal_or_Reuse_of_Equipment/7-14_O4_Data_Destruction_Certificate_TEC-AST-000271.docx
8.1-o1,ISO-8.1,User endpoint devices,o1,Global Enterprises Inc,8-1_O1_Okta_User_List.png,png,image,UNKNOWN,Unknown,No,withheld_pending_review,
8.1-o2,ISO-8.1,User endpoint devices,o2,GlobalFinance Partners,8-1_O2_GlobalFinance_Okta_User_Access_Export.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-8.1_User_Endpoint_Devices/8-1_O2_GlobalFinance_Okta_User_Access_Export.xlsx
8.1-o3,ISO-8.1,User endpoint devices,o3,QuickServe Restaurants LLC,8.1_O3_QuickServe_Okta_User_Access_Export.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-8.1_User_Endpoint_Devices/8.1_O3_QuickServe_Okta_User_Access_Export.xlsx
8.1-o4,ISO-8.1,User endpoint devices,o4,TechInnovate Inc,8-1_O4_TechInnovate_JumpCloud_User_Access_List.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-8.1_User_Endpoint_Devices/8-1_O4_TechInnovate_JumpCloud_User_Access_List.xlsx
8.4-o1,ISO-8.4,Access to source code,o1,Global Enterprises Inc,8-4_O1_Code_Repo_Access_List.png,png,image,UNKNOWN,Unknown,No,withheld_pending_review,
8.4-o2,ISO-8.4,Access to source code,o2,GlobalFinance Partners,8-4_O2_GlobalFinance_GitHub_Repository_Access_Export.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-8.4_Access_to_Source_Code/8-4_O2_GlobalFinance_GitHub_Repository_Access_Export.xlsx
8.4-o3,ISO-8.4,Access to source code,o3,QuickServe Restaurants LLC,8_4_O3_QuickServe_GitHub_Repository_Access_Export.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-8.4_Access_to_Source_Code/8_4_O3_QuickServe_GitHub_Repository_Access_Export.xlsx
8.4-o4,ISO-8.4,Access to source code,o4,TechInnovate Inc,8-4_O4_TechInnovate_GitHub_Repo_Access_List.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-8.4_Access_to_Source_Code/8-4_O4_TechInnovate_GitHub_Repo_Access_List.xlsx
