respondent_id,role,study_org,control_id,case_id,modality,ground_truth_status,llm_status,rq1_understanding,rq2_factual,rq2_fulfils,rq4_identified,rq4_remediate
S003,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S003,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S003,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S003,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S003,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S003,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S003,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,4,4
S003,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S003,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,4
S003,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,5
S003,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,5
S004,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S004,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S004,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,5
S004,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S004,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S004,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,5,5
S004,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S004,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,5,4
S004,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S004,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,5
S004,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,1
S004,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,1
S005,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,5,5
S005,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S005,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,5
S005,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,2,4
S005,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,5
S005,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,5
S005,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,5
S005,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,1,4
S005,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,5
S005,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,5
S005,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,5
S005,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,5
S006,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,1,1
S006,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S006,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S006,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,3,4
S006,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,2,1
S007,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,2,3
S007,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,5
S007,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,5
S007,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S007,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S007,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S007,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,2
S007,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,1,4
S007,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S007,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,3,4
S007,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,4
S007,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
A002,auditor,o3,5.1,5.1-o3,docx,Unknown,PARTIAL,4,4,4,,
A002,auditor,o3,5.11,5.11-o3,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,5,,
A002,auditor,o3,5.2,5.2-o3,pdf,Unknown,COMPLIANT,4,4,4,,
A002,auditor,o3,5.24,5.24-o3,docx,Unknown,COMPLIANT,5,5,5,,
A002,auditor,o3,5.27,5.27-o3,docx,Unknown,COMPLIANT,4,4,4,,
A002,auditor,o3,5.29,5.29-o3,docx,Unknown,PARTIAL,4,4,3,,
A002,auditor,o3,5.30,5.30-o3,docx,Unknown,PARTIAL,4,4,4,,
A002,auditor,o3,5.9,5.9-o3,xlsx,Unknown,NON_COMPLIANT,4,4,5,,
A002,auditor,o3,6.4,6.4-o3,docx,Unknown,PARTIAL,4,4,4,,
A002,auditor,o3,7.14,7.14-o3,pdf,Unknown,PARTIAL,4,4,4,,
A002,auditor,o3,8.1,8.1-o3,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
A002,auditor,o3,8.4,8.4-o3,xlsx,Unknown,PARTIAL,4,4,4,,
S008,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,5
S008,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,5
S008,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,5,5
S008,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,5,5
S008,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,5,5
S008,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,2,5
S008,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,5,5
S008,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,2,4
S008,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,5,5
S008,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,5
S008,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,5
S008,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,5
S009,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S009,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S009,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S009,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S009,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S009,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S009,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S009,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,4,4
S009,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S009,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,4
S009,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S009,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
A003,auditor,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,4,5,4,,
A003,auditor,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,5,,
A003,auditor,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,4,4,4,,
A003,auditor,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,5,4,5,,
A003,auditor,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,4,5,4,,
A003,auditor,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,4,4,4,,
A003,auditor,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,5,5,5,,
A003,auditor,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,4,4,4,,
A003,auditor,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,5,4,5,,
A003,auditor,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,5,5,5,,
A003,auditor,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
A003,auditor,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,5,4,5,,
S010,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S010,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S010,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,3,2
S010,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,5,5
S010,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,2,2
S010,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S010,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S010,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,4,4
S010,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,5,5
S010,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,5,5
S010,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,3,3
S010,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,1
S011,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S011,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S011,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S011,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S011,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S011,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S011,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,3,4
S011,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,4,4
S011,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S011,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,4
S011,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,3,4
S011,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S012,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S012,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,5
S012,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,5,5
S012,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S012,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S012,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,5,4
S012,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,5,5
S012,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,4,5
S012,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S012,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,2,4
S012,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,3
S012,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
A004,auditor,o4,5.1,5.1-o4,docx,Unknown,PARTIAL,2,1,2,,
A004,auditor,o4,5.11,5.11-o4,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,1,,
A004,auditor,o4,5.2,5.2-o4,pdf,Unknown,COMPLIANT,4,4,1,,
A004,auditor,o4,5.24,5.24-o4,docx,Unknown,PARTIAL,2,4,1,,
A004,auditor,o4,5.27,5.27-o4,docx,Unknown,PARTIAL,2,3,1,,
A004,auditor,o4,5.29,5.29-o4,docx,Unknown,PARTIAL,3,4,1,,
A004,auditor,o4,5.9,5.9-o4,xlsx,Unknown,PARTIAL,3,4,2,,
S013,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,5,4
S013,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,4
S013,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S013,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,,
S013,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,2,4
S013,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,5,4
S013,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,5,4
S013,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,2,4
S013,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,2,4
S013,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,5,4
S013,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,2
S013,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,2
S014,student,o2,5.1,5.1-o2,docx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,2
A005,auditor,o4,5.1,5.1-o4,docx,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,5.11,5.11-o4,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
A005,auditor,o4,5.2,5.2-o4,pdf,Unknown,COMPLIANT,4,4,4,,
A005,auditor,o4,5.24,5.24-o4,docx,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,5.27,5.27-o4,docx,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,5.29,5.29-o4,docx,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,5.30,5.30-o4,docx,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,5.9,5.9-o4,xlsx,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,6.4,6.4-o4,docx,Unknown,COMPLIANT,4,4,4,,
A005,auditor,o4,7.14,7.14-o4,pdf,Unknown,PARTIAL,4,4,4,,
A005,auditor,o4,8.1,8.1-o4,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
S015,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S015,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,5,5
S015,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S015,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,5
S015,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,5,5
S015,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,5,5
S015,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S015,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,3,4
S015,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S015,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,5
S015,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,1
S015,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,1
S016,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S016,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,2,4
S017,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,5,5
S017,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S017,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,5,5
S017,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S017,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S017,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S017,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S017,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,1,1
S017,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,1,1
S017,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,3,3
S017,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,1
S017,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,1
A006,auditor,o2,5.1,5.1-o2,docx,Unknown,INSUFFICIENT_EVIDENCE,4,2,4,,
A006,auditor,o2,5.11,5.11-o2,xlsx,Unknown,NON_COMPLIANT,1,2,1,,
A006,auditor,o2,5.2,5.2-o2,pdf,Unknown,PARTIAL,4,4,1,,
A006,auditor,o2,5.24,5.24-o2,docx,Unknown,COMPLIANT,4,4,1,,
A006,auditor,o2,5.9,5.9-o2,xlsx,Unknown,PARTIAL,4,4,2,,
S018,student,o2,5.1,5.1-o2,docx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,4
A007,auditor,o3,5.1,5.1-o3,docx,Unknown,PARTIAL,4,3,4,,
A007,auditor,o3,5.11,5.11-o3,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
A007,auditor,o3,5.2,5.2-o3,pdf,Unknown,COMPLIANT,4,4,4,,
A007,auditor,o3,5.24,5.24-o3,docx,Unknown,COMPLIANT,4,4,4,,
A007,auditor,o3,5.27,5.27-o3,docx,Unknown,COMPLIANT,4,4,4,,
A007,auditor,o3,5.29,5.29-o3,docx,Unknown,PARTIAL,4,4,4,,
A007,auditor,o3,5.30,5.30-o3,docx,Unknown,PARTIAL,2,4,,,
A007,auditor,o3,5.9,5.9-o3,xlsx,Unknown,NON_COMPLIANT,4,4,4,,
A007,auditor,o3,6.4,6.4-o3,docx,Unknown,PARTIAL,4,4,2,,
A007,auditor,o3,7.14,7.14-o3,pdf,Unknown,PARTIAL,4,4,4,,
A007,auditor,o3,8.1,8.1-o3,xlsx,Unknown,INSUFFICIENT_EVIDENCE,5,5,5,,
A007,auditor,o3,8.4,8.4-o3,xlsx,Unknown,PARTIAL,4,4,4,,
A008,auditor,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,5,5,5,,
A008,auditor,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,5,5,1,,
A008,auditor,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,5,5,1,,
A008,auditor,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,5,4,4,,
A008,auditor,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,5,5,4,,
A008,auditor,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,5,4,4,,
A008,auditor,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,5,5,4,,
A008,auditor,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,5,5,4,,
A008,auditor,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,5,4,4,,
A008,auditor,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,5,5,4,,
A008,auditor,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,5,5,3,,
A008,auditor,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,5,5,4,,
S019,student,o2,5.1,5.1-o2,docx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S019,student,o2,5.11,5.11-o2,xlsx,Unknown,NON_COMPLIANT,,,,5,5
S019,student,o2,5.2,5.2-o2,pdf,Unknown,PARTIAL,,,,5,5
S019,student,o2,5.24,5.24-o2,docx,Unknown,COMPLIANT,,,,4,4
S019,student,o2,5.27,5.27-o2,docx,Unknown,COMPLIANT,,,,5,5
S019,student,o2,5.29,5.29-o2,docx,Unknown,COMPLIANT,,,,5,5
S019,student,o2,5.30,5.30-o2,docx,Unknown,COMPLIANT,,,,5,5
S019,student,o2,5.9,5.9-o2,xlsx,Unknown,PARTIAL,,,,2,2
S019,student,o2,6.4,6.4-o2,docx,Unknown,PARTIAL,,,,2,2
S019,student,o2,7.14,7.14-o2,pdf,Unknown,PARTIAL,,,,4,4
S019,student,o2,8.1,8.1-o2,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,1
S019,student,o2,8.4,8.4-o2,xlsx,Unknown,PARTIAL,,,,4,4
A009,auditor,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,4,2,1,,
A009,auditor,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,4,4,1,,
A009,auditor,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,4,4,1,,
A009,auditor,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,4,4,1,,
A009,auditor,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,4,4,2,,
A009,auditor,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,4,4,1,,
A009,auditor,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,4,4,1,,
A009,auditor,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,2,,
A009,auditor,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
A009,auditor,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,4,4,,
S020,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,3,4
S020,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S020,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S020,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S020,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,3,4
S020,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S020,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S020,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,4,4
S020,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S020,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,4
S020,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,3,4
S020,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S021,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S021,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,
S021,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,5,5
S021,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,4,4
S021,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,4,4
S021,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S021,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,4
S021,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,2,4
S021,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,4,4
S021,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,4
S021,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,1
S021,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,1
S022,student,o2,5.1,5.1-o2,docx,Unknown,INSUFFICIENT_EVIDENCE,,,,2,2
S022,student,o2,5.11,5.11-o2,xlsx,Unknown,NON_COMPLIANT,,,,5,5
S022,student,o2,5.2,5.2-o2,pdf,Unknown,PARTIAL,,,,2,2
S022,student,o2,5.24,5.24-o2,docx,Unknown,COMPLIANT,,,,4,3
S022,student,o2,5.27,5.27-o2,docx,Unknown,COMPLIANT,,,,5,5
S022,student,o2,5.29,5.29-o2,docx,Unknown,COMPLIANT,,,,4,4
S022,student,o2,5.30,5.30-o2,docx,Unknown,COMPLIANT,,,,4,4
S022,student,o2,5.9,5.9-o2,xlsx,Unknown,PARTIAL,,,,4,3
S022,student,o2,6.4,6.4-o2,docx,Unknown,PARTIAL,,,,3,2
