respondent_id,study_org,participant_role,participant_group,case_id,control_id,condition,modality,evidence_name,ground_truth_label,ground_truth_status,llm_status,rq1_understands_control,rq1_what_was_missed,rq2_factual_evaluation,rq2_what_was_missed,rq2_evidence_fulfils,rq4_correctly_identified,rq4_could_remediate,rq4_remediation_blocker,judge_followup_turns,judge_changed_status,judge_updated_status,created_at,updated_at,participant_completed_at
A002,o3,auditor,Auditor,8.4-o3,8.4,balanced_v1,xlsx,8_4_O3_QuickServe_GitHub_Repository_Access_Export.xlsx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:19:47.461+00:00,2026-07-20T05:19:47.461+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,8.1-o3,8.1,balanced_v1,xlsx,8.1_O3_QuickServe_Okta_User_Access_Export.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:19:27.566+00:00,2026-07-20T05:19:27.566+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,7.14-o3,7.14,balanced_v1,pdf,7-14_O3_Data_Destruction_Certificate_QUI-AST-000166.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:19:08.647+00:00,2026-07-20T05:19:08.647+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,6.4-o3,6.4,balanced_v1,docx,6-4_O3_termination_letter.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:18:38.678+00:00,2026-07-20T05:18:38.678+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.30-o3,5.3,balanced_v1,docx,5-30_O3_QuickServe_ICT_Continuity_Plan.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:18:25.224+00:00,2026-07-20T05:18:25.224+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.29-o3,5.29,balanced_v1,docx,5-29_O3_QuickServe_Business_Continuity_Policy_v1_0.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Neutral,,,,0,FALSE,,2026-07-20T05:18:09.211+00:00,2026-07-20T05:18:09.211+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.27-o3,5.27,balanced_v1,docx,5-27_O3_QuickServe_Incident_Response_Report.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:17:26.233+00:00,2026-07-20T05:17:26.233+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.24-o3,5.24,balanced_v1,docx,5-24_O3_QuickServe_Incident_Management_Policy_v1.0.docx,UNKNOWN,Unknown,COMPLIANT,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,0,FALSE,,2026-07-20T05:17:03.262+00:00,2026-07-20T05:17:03.262+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.11-o3,5.11,balanced_v1,xlsx,5-11_O3__QuickServe_Restaurants_LLC_Asset_Data - Copy.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Strongly Agree,,,,0,FALSE,,2026-07-20T05:16:52.446+00:00,2026-07-20T05:16:52.446+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.9-o3,5.9,balanced_v1,xlsx,5-9_O3__QuickServe_Restaurants_LLC_Asset_Data.xlsx,UNKNOWN,Unknown,NON_COMPLIANT,Agree,,Agree,,Strongly Agree,,,,0,FALSE,,2026-07-20T05:16:29.856+00:00,2026-07-20T05:16:29.856+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.2-o3,5.2,balanced_v1,pdf,5-2_O3_QuickServe_Executive_Team.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:16:02.254+00:00,2026-07-20T05:16:02.254+00:00,2026-07-20T05:19:47.696+00:00
A002,o3,auditor,Auditor,5.1-o3,5.1,balanced_v1,docx,5-1_O3_QuickServe_Information_Security_Policy_v1.0.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T05:15:43.989+00:00,2026-07-20T05:15:43.989+00:00,2026-07-20T05:19:47.696+00:00
A003,o4,auditor,Auditor,8.1-o4,8.1,balanced_v1,xlsx,8-1_O4_TechInnovate_JumpCloud_User_Access_List.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T00:03:03.852+00:00,2026-07-20T00:03:03.852+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,7.14-o4,7.14,balanced_v1,pdf,7-14_O4_Data_Destruction_Certificate_TEC-AST-000271.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T00:02:54.131+00:00,2026-07-20T00:02:54.131+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,6.4-o4,6.4,balanced_v1,docx,6-4_O4_Termination_Letter_John_Doe.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T00:02:47.409+00:00,2026-07-20T00:02:47.409+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.30-o4,5.3,balanced_v1,docx,5-30_O4_TechInnovate_ICT_Continuity_Plan.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T00:02:40.719+00:00,2026-07-20T00:02:40.719+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.29-o4,5.29,balanced_v1,docx,5-29_O4_TechInnovate_Business_Continuity_Plan.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T00:02:32.688+00:00,2026-07-20T00:02:32.688+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.27-o4,5.27,balanced_v1,docx,5-27_O4_Incident_Response_Report.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-20T00:02:15.6+00:00,2026-07-20T00:02:15.6+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.24-o4,5.24,balanced_v1,docx,5-24_O4_TechInnovate_Business_Continuity_Policy_v1_0.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T23:56:56.195+00:00,2026-07-19T23:56:56.195+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.11-o4,5.11,balanced_v1,xlsx,5-11_O4_TechInnovate_Inc_Asset_Data.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T23:53:07.301+00:00,2026-07-19T23:53:07.301+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.9-o4,5.9,balanced_v1,xlsx,5-9_O4_TechInnovate_Inc_Asset_Data .xlsx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T23:51:21.221+00:00,2026-07-19T23:51:21.221+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.2-o4,5.2,balanced_v1,pdf,5-2_O4_TechInnovate_Executive_Team.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T23:38:28.816+00:00,2026-07-19T23:38:28.816+00:00,2026-07-20T00:03:17.759+00:00
A003,o4,auditor,Auditor,5.1-o4,5.1,balanced_v1,docx,5-1_O4_TechInnovate_Information_Security_Policy_v1.0.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T23:34:20.53+00:00,2026-07-19T23:34:20.53+00:00,2026-07-20T00:03:17.759+00:00
A001,o4,auditor,Auditor,5.1-o4,5.1,balanced_v1,docx,5-1_O4_TechInnovate_Information_Security_Policy_v1.0.docx,UNKNOWN,Unknown,PARTIAL,Somewhat Agree,,Disagree,"It is not obvious if this document was signed, as there is only a date next to the individual who should have signed",Somewhat Agree,,,,0,FALSE,,2026-07-19T04:33:31.709+00:00,2026-07-19T04:33:31.709+00:00,
A004,o2,auditor,Auditor,8.4-o2,8.4,balanced_v1,xlsx,8-4_O2_GlobalFinance_GitHub_Repository_Access_Export.xlsx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:58:03.078+00:00,2026-07-19T02:58:03.078+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,8.1-o2,8.1,balanced_v1,xlsx,8-1_O2_GlobalFinance_Okta_User_Access_Export.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:57:58.717+00:00,2026-07-19T02:57:58.717+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,7.14-o2,7.14,balanced_v1,pdf,7-14_O2_Data_Destruction_Certificate_GLO-AST-000321.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:57:50.781+00:00,2026-07-19T02:57:50.781+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,6.4-o2,6.4,balanced_v1,docx,6-4_O2_termination_letter.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:54:33.687+00:00,2026-07-19T02:54:33.687+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.30-o2,5.3,balanced_v1,docx,5-30_O2_ICT_Continuity_Plan.docx,UNKNOWN,Unknown,COMPLIANT,Neutral,"Lack of evidence of testing of the plan was dismissed with the flimsy justification of it being implied by the continuity plan's design. While that is good, it is not evidence of actual testing.",Disagree,"Lack of evidence of testing of the plan was dismissed with the flimsy justification of it being implied by the continuity plan's design. While that is good, it is not evidence of actual testing.",Somewhat Agree,,,,1,TRUE,INSUFFICIENT_EVIDENCE,2026-07-19T02:54:24.361+00:00,2026-07-19T02:54:24.361+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.29-o2,5.29,balanced_v1,docx,5-29_O2_BCP.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:51:52.42+00:00,2026-07-19T02:51:52.42+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.27-o2,5.27,balanced_v1,docx,5-27_O2_Incident_Response_Report.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:46:53.44+00:00,2026-07-19T02:46:53.44+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.24-o2,5.24,balanced_v1,docx,5-24_GFP_Incident_Management_Policy.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-19T02:46:13.592+00:00,2026-07-19T02:46:13.592+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.11-o2,5.11,balanced_v1,xlsx,5-11_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,UNKNOWN,Unknown,NON_COMPLIANT,Agree,,Agree,,Somewhat Agree,,,,0,FALSE,,2026-07-19T02:40:07.199+00:00,2026-07-19T02:40:07.199+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.9-o2,5.9,balanced_v1,xlsx,5-9_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Neutral,,,,0,FALSE,,2026-07-19T02:38:38.024+00:00,2026-07-19T02:38:38.024+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.2-o2,5.2,balanced_v1,pdf,5-2_O2_Executive Team.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Somewhat Agree,,,,0,FALSE,,2026-07-19T02:22:46.624+00:00,2026-07-19T02:22:46.624+00:00,2026-07-19T02:58:03.203+00:00
A004,o2,auditor,Auditor,5.1-o2,5.1,balanced_v1,docx,5-1_O2_GFP_Information_Security_Policy.docx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Neutral,,,,0,FALSE,,2026-07-19T02:21:09.198+00:00,2026-07-19T02:21:09.198+00:00,2026-07-19T02:58:03.203+00:00
A005,o3,auditor,Auditor,8.4-o3,8.4,balanced_v1,xlsx,8_4_O3_QuickServe_GitHub_Repository_Access_Export.xlsx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T23:10:01.49+00:00,2026-07-18T23:10:01.49+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,8.1-o3,8.1,balanced_v1,xlsx,8.1_O3_QuickServe_Okta_User_Access_Export.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,0,FALSE,,2026-07-18T23:08:54.207+00:00,2026-07-18T23:08:54.207+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,7.14-o3,7.14,balanced_v1,pdf,7-14_O3_Data_Destruction_Certificate_QUI-AST-000166.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T23:08:24.067+00:00,2026-07-18T23:08:24.067+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,6.4-o3,6.4,balanced_v1,docx,6-4_O3_termination_letter.docx,UNKNOWN,Unknown,PARTIAL,Agree,This issue considers the importance of further investigation through a walk-through meeting,Agree,,Somewhat Agree,,,,0,FALSE,,2026-07-18T23:05:56.487+00:00,2026-07-18T23:05:56.487+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.30-o3,5.3,balanced_v1,docx,5-30_O3_QuickServe_ICT_Continuity_Plan.docx,UNKNOWN,Unknown,PARTIAL,Somewhat Agree,This gap needs to be addressed in risk management to cover the gap and ensure compliance overall. ,Agree,,,,,,0,FALSE,,2026-07-18T23:00:22.004+00:00,2026-07-18T23:00:22.004+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.29-o3,5.29,balanced_v1,docx,5-29_O3_QuickServe_Business_Continuity_Policy_v1_0.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T22:58:39.109+00:00,2026-07-18T22:58:39.109+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.27-o3,5.27,balanced_v1,docx,5-27_O3_QuickServe_Incident_Response_Report.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T22:52:19.188+00:00,2026-07-18T22:52:19.188+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.24-o3,5.24,balanced_v1,docx,5-24_O3_QuickServe_Incident_Management_Policy_v1.0.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T22:51:25.577+00:00,2026-07-18T22:51:25.577+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.11-o3,5.11,balanced_v1,xlsx,5-11_O3__QuickServe_Restaurants_LLC_Asset_Data - Copy.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Agree,,,,2,FALSE,,2026-07-18T22:48:25.923+00:00,2026-07-18T22:48:25.923+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.9-o3,5.9,balanced_v1,xlsx,5-9_O3__QuickServe_Restaurants_LLC_Asset_Data.xlsx,UNKNOWN,Unknown,NON_COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T22:39:59.253+00:00,2026-07-18T22:39:59.253+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.2-o3,5.2,balanced_v1,pdf,5-2_O3_QuickServe_Executive_Team.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Agree,,,,0,FALSE,,2026-07-18T22:32:49.806+00:00,2026-07-18T22:32:49.806+00:00,2026-07-18T23:10:01.942+00:00
A005,o3,auditor,Auditor,5.1-o3,5.1,balanced_v1,docx,5-1_O3_QuickServe_Information_Security_Policy_v1.0.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Neutral,The evidence regarding the lack of referral will be clarified during the Walkthrough meeting. The process and control design should also be clarified in the WT meeting and address the gaps AI is referring to.,Agree,,,,0,FALSE,,2026-07-18T22:25:50.098+00:00,2026-07-18T22:25:50.098+00:00,2026-07-18T23:10:01.942+00:00
A001,o4,auditor,Auditor,5.27-o4,5.27,balanced_v1,docx,5-27_O4_Incident_Response_Report.docx,UNKNOWN,Unknown,PARTIAL,Somewhat Agree,,Neutral,,Disagree,,,,0,FALSE,,2026-07-18T21:57:37.193+00:00,2026-07-18T21:57:37.193+00:00,
A001,o4,auditor,Auditor,5.24-o4,5.24,balanced_v1,docx,5-24_O4_TechInnovate_Business_Continuity_Policy_v1_0.docx,UNKNOWN,Unknown,PARTIAL,Somewhat Agree,,Agree,,Disagree,,,,0,FALSE,,2026-07-18T21:52:27.796+00:00,2026-07-18T21:52:27.796+00:00,
A001,o4,auditor,Auditor,5.11-o4,5.11,balanced_v1,xlsx,5-11_O4_TechInnovate_Inc_Asset_Data.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Agree,,Disagree,,,,0,FALSE,,2026-07-18T21:49:29.254+00:00,2026-07-18T21:49:29.254+00:00,
A001,o4,auditor,Auditor,5.9-o4,5.9,balanced_v1,xlsx,5-9_O4_TechInnovate_Inc_Asset_Data .xlsx,UNKNOWN,Unknown,PARTIAL,Neutral,,Agree,,Somewhat Agree,,,,0,FALSE,,2026-07-18T21:48:45.768+00:00,2026-07-18T21:48:45.768+00:00,
A001,o4,auditor,Auditor,5.2-o4,5.2,balanced_v1,pdf,5-2_O4_TechInnovate_Executive_Team.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Disagree,,,,0,FALSE,,2026-07-18T21:47:05.66+00:00,2026-07-18T21:47:05.66+00:00,
A006,o2,auditor,Auditor,5.24-o2,5.24,balanced_v1,docx,5-24_GFP_Incident_Management_Policy.docx,UNKNOWN,Unknown,COMPLIANT,Agree,,Agree,,Disagree,,,,0,FALSE,,2026-07-18T16:45:37.572+00:00,2026-07-18T16:45:37.572+00:00,
A006,o2,auditor,Auditor,5.11-o2,5.11,balanced_v1,xlsx,5-11_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,UNKNOWN,Unknown,NON_COMPLIANT,Disagree,,Somewhat Agree,,Disagree,,,,0,FALSE,,2026-07-18T16:40:18.069+00:00,2026-07-18T16:40:18.069+00:00,
A006,o2,auditor,Auditor,5.9-o2,5.9,balanced_v1,xlsx,5-9_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Somewhat Agree,,,,0,FALSE,,2026-07-18T09:36:10.487+00:00,2026-07-18T09:36:10.487+00:00,
A006,o2,auditor,Auditor,5.2-o2,5.2,balanced_v1,pdf,5-2_O2_Executive Team.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Disagree,,,,0,FALSE,,2026-07-18T09:30:14.704+00:00,2026-07-18T09:30:14.704+00:00,
A006,o2,auditor,Auditor,5.1-o2,5.1,balanced_v1,docx,5-1_O2_GFP_Information_Security_Policy.docx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Agree,,Somewhat Agree,,Agree,,,,0,FALSE,,2026-07-18T09:26:08.622+00:00,2026-07-18T09:26:08.622+00:00,
A007,o4,auditor,Auditor,8.4-o4,8.4,balanced_v1,xlsx,8-4_O4_TechInnovate_GitHub_Repo_Access_List.xlsx,UNKNOWN,Unknown,PARTIAL,Strongly Agree,,Neutral,"It suggests the pending reviews represent a material governance issue, but every review date shown is 2026-06-30. Without knowing when the evidence was captured, we cannot conclude the reviews are overdue. They may simply be scheduled but not yet due.
It also states that grants dating back to 2025 raise concerns, but annual access reviews are common practice, so older grant dates alone don't indicate non-compliance.",Somewhat Agree,,,,0,FALSE,,2026-07-18T00:22:57.369+00:00,2026-07-18T00:22:57.369+00:00,2026-07-18T00:22:57.888+00:00
A007,o4,auditor,Auditor,8.1-o4,8.1,balanced_v1,xlsx,8-1_O4_TechInnovate_JumpCloud_User_Access_List.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,Strongly Agree,,Strongly Agree,,Disagree,,,,0,FALSE,,2026-07-18T00:20:15.707+00:00,2026-07-18T00:20:15.707+00:00,2026-07-18T00:22:57.888+00:00
A007,o4,auditor,Auditor,7.14-o4,7.14,balanced_v1,pdf,7-14_O4_Data_Destruction_Certificate_TEC-AST-000271.docx,UNKNOWN,Unknown,PARTIAL,Agree,,Agree,,Somewhat Agree,,,,0,FALSE,,2026-07-18T00:18:44.455+00:00,2026-07-18T00:18:44.455+00:00,2026-07-18T00:22:57.888+00:00
